City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,paita,-5.0892,-81.1144,24.51,66,38,6.38,PE,1694886657
263,ashburton,-37.8626,145.0794,15.9,68,1,0.89,AU,1694886657
264,hammerfest,70.6634,23.6821,7.25,87,40,2.57,NO,1694886638
265,tofol,5.3248,163.0078,28.04,75,100,2.79,FM,1694886657
266,kegeyli shahar,42.7767,59.6078,18.05,55,0,4.39,UZ,1694886657
267,chui,-33.6971,-53.4616,23.11,61,100,5.55,UY,1694886609
268,selfoss,63.9331,-20.9971,11.69,98,100,9.95,IS,1694886658
269,tobelo,1.7284,128.0095,25.67,87,96,2.36,ID,1694886658
270,le lavandou,43.137,6.366,25.4,71,100,3.09,FR,1694886658
271,paphos,34.7667,32.4167,25.88,78,0,3.6,CY,1694886658
272,hami,42.8,93.45,18.65,27,65,4.61,CN,1694886658
273,flying fish cove,-10.4217,105.6791,23.82,88,75,5.66,CX,1694886659
274,sonqor,34.7837,47.6004,19.76,27,1,1.88,IR,1694886659
275,conde,-7.2597,-34.9075,27.7,65,75,6.69,BR,1694886659
276,nguigmi,14.2495,13.1092,29.72,59,71,4.73,NE,1694886659
277,myeik,12.4333,98.6,25.68,89,100,3.81,MM,1694886659
278,al ghayzah,16.2079,52.176,27.59,88,87,4.17,YE,1694886659
279,igrim,63.1906,64.4162,15.01,57,60,2.24,RU,1694886660
280,kibale,0.8,31.0667,17.43,97,98,0.84,UG,1694886660
281,touros,-5.1989,-35.4608,28.82,56,30,7.99,BR,1694886660
282,junin de los andes,-39.9504,-71.0694,3.75,97,72,5.21,AR,1694886660
283,nefta,33.8731,7.8777,37.14,21,2,3.16,TN,1694886660
284,ayios konstandinos,38.6333,21.4,22.28,57,26,0.89,GR,1694886660
285,opuwo,-18.0607,13.84,26.11,11,0,3.48,NA,1694886661
286,masterton,-40.9597,175.6575,12.71,80,99,7.39,NZ,1694886429
287,salmon arm,50.6998,-119.3024,21.84,55,0,0.51,CA,1694886661
